"","hour","treatment","par_mean","par_sd","par_se"
"1","00","all_par_mean_LTVLLV",0,0,0
"2","01","all_par_mean_LTVLLV",0,0,0
"3","02","all_par_mean_LTVLLV",0,0,0
"4","03","all_par_mean_LTVLLV",0,0,0
"5","04","all_par_mean_LTVLLV",0,0,0
"6","05","all_par_mean_LTVLLV",0,0,0
"7","06","all_par_mean_LTVLLV",133.807487465278,64.5856851685636,3.8057479958559
"8","07","all_par_mean_LTVLLV",158.973216157407,41.256030893066,2.43103493411072
"9","08","all_par_mean_LTVLLV",396.096522847222,113.380495661193,6.68100977802681
"10","09","all_par_mean_LTVLLV",435.493822916667,71.7097199181747,4.22553576926078
"11","10","all_par_mean_LTVLLV",439.757573032407,75.7956015217887,4.46629865168085
"12","11","all_par_mean_LTVLLV",442.49696875,71.8571455218829,4.23422290626933
"13","12","all_par_mean_LTVLLV",434.455576157407,72.7951141201339,4.28949323596628
"14","13","all_par_mean_LTVLLV",440.22416099537,76.0422000428218,4.48082960888527
"15","14","all_par_mean_LTVLLV",446.950967939815,71.8343148446398,4.23287759571119
"16","15","all_par_mean_LTVLLV",428.582508796296,73.9538854871055,4.35777449358547
"17","16","all_par_mean_LTVLLV",439.358459143519,78.4572940282018,4.62314038674069
"18","17","all_par_mean_LTVLLV",440.324773611111,73.8586158679547,4.35216067744026
"19","18","all_par_mean_LTVLLV",443.106105671296,74.6612043752602,4.3994536587751
"20","19","all_par_mean_LTVLLV",439.229570717593,72.2317018910319,4.25629385198282
"21","20","all_par_mean_LTVLLV",206.219492777778,98.5206243549376,5.80538346400907
"22","21","all_par_mean_LTVLLV",162.51005375,44.6879107519445,2.6332603941466
"23","22","all_par_mean_LTVLLV",26.449072025463,56.0912011654218,3.30520572574738
"24","23","all_par_mean_LTVLLV",0,0,0
